county,FIPS,722410
Alameda,1,167
Alpine,3,0
Amador,5,4
Butte,7,22
Calaveras,9,4
Colusa,11,3
Contra Costa,13,70
Del Norte,15,1
El Dorado,17,16
Fresno,19,64
Glenn,21,3
Humboldt,23,32
Imperial,25,11
Inyo,27,2
Kern,29,53
Kings,31,7
Lake,33,10
Lassen,35,6
Los Angeles,37,746
Madera,39,8
Marin,41,28
Mariposa,43,2
Mendocino,45,21
Merced,47,14
Modoc,49,0
Mono,51,1
Monterey,53,25
Napa,55,12
Nevada,57,14
Orange,59,227
Placer,61,27
Plumas,63,10
Riverside,65,89
Sacramento,67,107
San Benito,69,2
San Bernardino,71,100
San Diego,73,327
San Francisco,75,394
San Joaquin,77,53
San Luis Obispo,79,34
San Mateo,81,55
Santa Barbara,83,55
Santa Clara,85,140
Santa Cruz,87,34
Shasta,89,16
Sierra,91,1
Siskiyou,93,9
Solano,95,36
Sonoma,97,51
Stanislaus,99,31
Sutter,101,3
Tehama,103,6
Trinity,105,7
Tulare,107,9
Tuolumne,109,6
Ventura,111,53
Yolo,113,17
Yuba,115,5