Name,2019 Population
Los Angeles County,10163507
San Diego County,3337685
Orange County,3190400
Riverside County,2423266
San Bernardino County,2157404
Santa Clara County,1938153
Alameda County,1663190
Sacramento County,1530615
Contra Costa County,1147439
Fresno County,989255
Kern County,893119
San Francisco County,884363
Ventura County,854223
San Mateo County,771410
San Joaquin County,745424
Stanislaus County,547899
Sonoma County,504217
Tulare County,464493
Santa Barbara County,448150
Solano County,445458
Monterey County,437907
Placer County,386166
San Luis Obispo County,283405
Santa Cruz County,275897
Merced County,272673
Marin County,260955
Butte County,229294
Yolo County,219116
El Dorado County,188987
Imperial County,182830
Shasta County,179921
Madera County,156890
Kings County,150101
Napa County,140973
Humboldt County,136754
Nevada County,99814
Sutter County,96648
Mendocino County,88018
Yuba County,77031
Lake County,64246
Tehama County,63926
San Benito County,60310
Tuolumne County,54248
Calaveras County,45670
Siskiyou County,43853
Amador County,38626
Lassen County,31163
Glenn County,28094
Del Norte County,27470
Colusa County,21805
Plumas County,18742
Inyo County,18026
Mariposa County,17569
Mono County,14168
Trinity County,12709
Modoc County,8859
Sierra County,2999
Alpine County,1120